ID,logFC,Pvalue,group,direction,group.direction
COA6,0.863357914,0.005324773,Proteomics,up,Proteomics.up
SLC25A13,-1.041976772,0.005339635,Proteomics,down,Proteomics.down
RHOT1,-1.036029991,0.005351008,Proteomics,down,Proteomics.down
SLTM,1.655925328,0.005355226,Proteomics,up,Proteomics.up
CLIC4,1.192114356,0.005382651,Proteomics,up,Proteomics.up
MRGBP,-0.617839636,0.005391427,Proteomics,down,Proteomics.down
RND3,-0.700699876,0.005401175,Proteomics,down,Proteomics.down
NDOR1,-1.14759682,0.005433077,Proteomics,down,Proteomics.down
TMUB2,0.61192377,0.005448945,Proteomics,up,Proteomics.up
PPP2CA,-1.730474531,0.005467829,Proteomics,down,Proteomics.down
WDR11,-0.671184594,0.005518388,Proteomics,down,Proteomics.down
TBCC,-1.018186421,0.005549148,Proteomics,down,Proteomics.down
RPA3,-0.686208685,0.005555363,Proteomics,down,Proteomics.down
LGMN,0.84258655,0.005580088,Proteomics,up,Proteomics.up
CUL7,-0.595829036,0.005596045,Proteomics,down,Proteomics.down
SRP72,-0.752558209,0.005916896,Proteomics,down,Proteomics.down
TYMP,1.497827295,0.006006404,Proteomics,up,Proteomics.up
GPAM,-1.079793041,0.006027119,Proteomics,down,Proteomics.down
GBP5,2.166835601,0.00603369,Proteomics,up,Proteomics.up
SPCS1,0.87470746,0.006076893,Proteomics,up,Proteomics.up
FBXO30,-1.162923273,0.006212902,Proteomics,down,Proteomics.down
GOLGA2,-1.087539404,0.006298056,Proteomics,down,Proteomics.down
TMEM205,1.587588918,0.006365646,Proteomics,up,Proteomics.up
RRAS2,-0.784576889,0.00638843,Proteomics,down,Proteomics.down
CDK6,-0.587529918,0.006431362,Proteomics,down,Proteomics.down
TGFB2,-0.602743645,0.006509207,Proteomics,down,Proteomics.down
BAD,-1.276458473,0.006569889,Proteomics,down,Proteomics.down
UBAC2,-1.703847976,0.006603746,Proteomics,down,Proteomics.down
TRA2B,1.455847084,0.00664477,Proteomics,up,Proteomics.up
NDUFB7,0.890716068,0.006653479,Proteomics,up,Proteomics.up
CHAMP1,0.692361055,0.00673245,Proteomics,up,Proteomics.up
DNAJC8,0.912280186,0.006792322,Proteomics,up,Proteomics.up
TNFRSF12A,-1.388381537,0.006795915,Proteomics,down,Proteomics.down
PPP1R37,-1.221478897,0.006809864,Proteomics,down,Proteomics.down
POLD1,0.885805529,0.006830842,Proteomics,up,Proteomics.up
RBM15,0.845693191,0.006843054,Proteomics,up,Proteomics.up
VPS72,-1.057985715,0.006845342,Proteomics,down,Proteomics.down
KIF2C,-0.622618972,0.006886765,Proteomics,down,Proteomics.down
NAA20,-0.875240117,0.006925226,Proteomics,down,Proteomics.down
LIG4,-1.440374425,0.006936593,Proteomics,down,Proteomics.down
EPRS,0.760080904,0.006938815,Proteomics,up,Proteomics.up
PDIA4,1.694289751,0.006958956,Proteomics,up,Proteomics.up
CASP1,2.272401299,0.006959454,Proteomics,up,Proteomics.up
ERO1L,1.086454685,0.006965294,Proteomics,up,Proteomics.up
NOP14,0.917178177,0.0069709,Proteomics,up,Proteomics.up
RFK,-0.645418816,0.00701341,Proteomics,down,Proteomics.down
YARS2,-1.226952047,0.007030347,Proteomics,down,Proteomics.down
DCUN1D5,-1.575958479,0.007057803,Proteomics,down,Proteomics.down
C16orf13,-2.688165375,0.007223606,Proteomics,down,Proteomics.down
EXOC8,-1.298575046,0.007234693,Proteomics,down,Proteomics.down
NEDD1,-1.307308935,0.007327003,Proteomics,down,Proteomics.down
TYMS,1.397563614,0.007411778,Proteomics,up,Proteomics.up
CBR1,-0.986256141,0.007442333,Proteomics,down,Proteomics.down
KIAA1033,1.354547744,0.007444032,Proteomics,up,Proteomics.up
PDLIM1,-0.704800134,0.007449044,Proteomics,down,Proteomics.down
ACLY,0.927407204,0.00768481,Proteomics,up,Proteomics.up
YAF2,-1.228499983,0.007693258,Proteomics,down,Proteomics.down
CCDC94,-0.821702466,0.007727745,Proteomics,down,Proteomics.down
C1orf123,-0.859441968,0.007927033,Proteomics,down,Proteomics.down
CALD1,0.942946321,0.008127861,Proteomics,up,Proteomics.up
HOMER3,0.918975392,0.008248235,Proteomics,up,Proteomics.up
ASPH,0.795516433,0.008319442,Proteomics,up,Proteomics.up
SEMA7A,-0.700967308,0.008401147,Proteomics,down,Proteomics.down
SNRNP70,1.229595639,0.008402806,Proteomics,up,Proteomics.up
INIP,-1.06056786,0.008534873,Proteomics,down,Proteomics.down
SLC39A6,-0.64599363,0.008558779,Proteomics,down,Proteomics.down
PGM3,-0.788860339,0.008633257,Proteomics,down,Proteomics.down
CSNK2A1,-1.782712742,0.008655975,Proteomics,down,Proteomics.down
C2orf44,-1.336336499,0.008791486,Proteomics,down,Proteomics.down
C18orf8,-1.178100727,0.008963011,Proteomics,down,Proteomics.down
HABP4,-0.686319504,0.009020579,Proteomics,down,Proteomics.down
FAM129A,0.813394408,0.009270129,Proteomics,up,Proteomics.up
EEFSEC,-0.83074392,0.009333012,Proteomics,down,Proteomics.down
ZNF526,-1.056159731,0.009355039,Proteomics,down,Proteomics.down
ZNF148,0.711756677,0.009419142,Proteomics,up,Proteomics.up
HDAC7,-0.973014331,0.009444744,Proteomics,down,Proteomics.down
SHMT2,-0.750491978,0.009572314,Proteomics,down,Proteomics.down
CDC73,-1.356545734,0.009636628,Proteomics,down,Proteomics.down
GLIPR1,0.857041723,0.009712486,Proteomics,up,Proteomics.up
PPIH,-0.716152252,0.009728652,Proteomics,down,Proteomics.down
RPS14,1.133455784,0.009825981,Proteomics,up,Proteomics.up
APOL2,1.544213255,0.009857581,Proteomics,up,Proteomics.up
PANK2,-1.702466203,0.010164927,Proteomics,down,Proteomics.down
NLN,-0.956393544,0.010165339,Proteomics,down,Proteomics.down
NUP62,1.766786253,0.010172041,Proteomics,up,Proteomics.up
MRE11A,1.429361536,0.010215623,Proteomics,up,Proteomics.up
FPGS,-0.826580241,0.010240792,Proteomics,down,Proteomics.down
PRPF31,0.770906442,0.010263022,Proteomics,up,Proteomics.up
BRIP1,-0.682460746,0.010301908,Proteomics,down,Proteomics.down
CLEC16A,0.847958152,0.010440908,Proteomics,up,Proteomics.up
CIT,1.635316522,0.010452675,Proteomics,up,Proteomics.up
RARS,1.537794166,0.010503659,Proteomics,up,Proteomics.up
STK4,-0.714878812,0.01059937,Proteomics,down,Proteomics.down
CDC16,-0.781682746,0.010708483,Proteomics,down,Proteomics.down
PSME3,1.538917424,0.01075048,Proteomics,up,Proteomics.up
CRTAP,-1.249428601,0.010774141,Proteomics,down,Proteomics.down
GLO1,0.657034864,0.010908743,Proteomics,up,Proteomics.up
NAPRT1,-1.00815136,0.011067105,Proteomics,down,Proteomics.down
NME6,-1.292559081,0.011129995,Proteomics,down,Proteomics.down
DNAH5,-1.243292933,0.011285045,Proteomics,down,Proteomics.down
PEPD,-2.659617724,0.011405468,Proteomics,down,Proteomics.down
PPP6R3,0.710423545,0.011414784,Proteomics,up,Proteomics.up
PARP4,0.83182576,0.011567812,Proteomics,up,Proteomics.up
PTBP1,0.896845872,0.011577116,Proteomics,up,Proteomics.up
NAT1,-1.139177314,0.011616193,Proteomics,down,Proteomics.down
LBR,-0.730596333,0.011861314,Proteomics,down,Proteomics.down
CASKIN2,-0.734280008,0.011899895,Proteomics,down,Proteomics.down
GOLGB1,0.827425989,0.011906839,Proteomics,up,Proteomics.up
TTC13,-0.614239252,0.011918516,Proteomics,down,Proteomics.down
NDNL2,-1.202828494,0.012011859,Proteomics,down,Proteomics.down
RERE,-0.843276744,0.012163545,Proteomics,down,Proteomics.down
NDUFC1,-1.330826664,0.012178506,Proteomics,down,Proteomics.down
MCM6,0.833159273,0.012226901,Proteomics,up,Proteomics.up
SRA1,-0.821319731,0.012390855,Proteomics,down,Proteomics.down
STAT2,1.502821676,0.012406315,Proteomics,up,Proteomics.up
TNRC6B,-0.739486514,0.01250636,Proteomics,down,Proteomics.down
PEA15,0.678246932,0.012650832,Proteomics,up,Proteomics.up
ZDHHC20,1.024722901,0.012653085,Proteomics,up,Proteomics.up
PSMA1,1.432800529,0.012872099,Proteomics,up,Proteomics.up
TBRG4,0.593470504,0.012878701,Proteomics,up,Proteomics.up
RNMT,-0.838503608,0.01288739,Proteomics,down,Proteomics.down
NPTN,-1.774914782,0.012903108,Proteomics,down,Proteomics.down
EEF1B2,-0.660640875,0.012963181,Proteomics,down,Proteomics.down
FBLIM1,-0.83425579,0.01302942,Proteomics,down,Proteomics.down
CCDC104,-0.816351053,0.013137017,Proteomics,down,Proteomics.down
PIK3CA,1.449827592,0.013156087,Proteomics,up,Proteomics.up
SCYL1,-0.654587366,0.01320589,Proteomics,down,Proteomics.down
IGF2BP2,-1.048178708,0.013236452,Proteomics,down,Proteomics.down
RPL30,0.64884482,0.013277464,Proteomics,up,Proteomics.up
PTGR2,-0.828925329,0.013322144,Proteomics,down,Proteomics.down
MAPKAPK2,-0.659207547,0.01347332,Proteomics,down,Proteomics.down
SNTB1,-0.851623703,0.013506441,Proteomics,down,Proteomics.down
CENPQ,-0.706885399,0.013608043,Proteomics,down,Proteomics.down
TRIM21,0.716275146,0.014048606,Proteomics,up,Proteomics.up
FAM120B,-0.727951871,0.014172604,Proteomics,down,Proteomics.down
EXOC6,-0.844499927,0.014393532,Proteomics,down,Proteomics.down
TXNDC5,1.600096609,0.014555026,Proteomics,up,Proteomics.up
SOGA1,-0.791388727,0.014692581,Proteomics,down,Proteomics.down
TOR1B,-1.119527175,0.014719942,Proteomics,down,Proteomics.down
KNTC1,1.526323995,0.014824982,Proteomics,up,Proteomics.up
COPA,1.624918919,0.015058873,Proteomics,up,Proteomics.up
GSKIP,-0.767418397,0.015237129,Proteomics,down,Proteomics.down
KLF4,1.270978819,0.015413963,Proteomics,up,Proteomics.up
MYL12A,-0.647636789,0.015499653,Proteomics,down,Proteomics.down
MYL12B,-0.647636789,0.015499653,Proteomics,down,Proteomics.down
RPL37,1.85040386,0.015578053,Proteomics,up,Proteomics.up
DGCR8,-0.673623036,0.015748399,Proteomics,down,Proteomics.down
GOLGA5,0.641464665,0.015821941,Proteomics,up,Proteomics.up
PNISR,-0.868822515,0.015951051,Proteomics,down,Proteomics.down
MCM2,0.589810459,0.016156665,Proteomics,up,Proteomics.up
THEM4,-0.677077491,0.016201468,Proteomics,down,Proteomics.down
ROR1,-0.62087681,0.016357253,Proteomics,down,Proteomics.down
SOD2,1.039264685,0.016359222,Proteomics,up,Proteomics.up
PSMC2,1.271618128,0.016502484,Proteomics,up,Proteomics.up
NARS2,-0.940183536,0.016865562,Proteomics,down,Proteomics.down
LPIN1,-1.670216581,0.016897565,Proteomics,down,Proteomics.down
RASSF7,-0.756169467,0.016919645,Proteomics,down,Proteomics.down
LAMB2,1.060743657,0.01697934,Proteomics,up,Proteomics.up
PCF11,-0.736662581,0.016992484,Proteomics,down,Proteomics.down
AP2B1,1.561895393,0.01704671,Proteomics,up,Proteomics.up
DNMBP,1.182084725,0.017158987,Proteomics,up,Proteomics.up
ANKRD46,-1.101589656,0.017212115,Proteomics,down,Proteomics.down
EMC7,-0.891049885,0.017222977,Proteomics,down,Proteomics.down
ISG15,2.303716917,0.01728136,Proteomics,up,Proteomics.up
PDIA3,0.586556683,0.017583566,Proteomics,up,Proteomics.up
GNA13,-0.705128135,0.017818045,Proteomics,down,Proteomics.down
TOP3B,-0.822029951,0.017820567,Proteomics,down,Proteomics.down
ADCK3,-0.899259592,0.017848814,Proteomics,down,Proteomics.down
APEH,1.134661636,0.018092158,Proteomics,up,Proteomics.up
TMSB10,-1.301891384,0.018167892,Proteomics,down,Proteomics.down
PIK3C2A,-0.890137401,0.018226956,Proteomics,down,Proteomics.down
MSH6,1.017708231,0.018306152,Proteomics,up,Proteomics.up
POLR2B,0.844649895,0.01861372,Proteomics,up,Proteomics.up
ATXN10,-2.033266593,0.018661532,Proteomics,down,Proteomics.down
NT5E,-0.794181424,0.018749961,Proteomics,down,Proteomics.down
EPG5,-0.58273089,0.018881106,Proteomics,down,Proteomics.down
MOSPD3,1.20420518,0.019050434,Proteomics,up,Proteomics.up
MSRA,-0.618188642,0.019275273,Proteomics,down,Proteomics.down
PROSC,-0.847715668,0.019359648,Proteomics,down,Proteomics.down
CEP135,-0.767700499,0.019641209,Proteomics,down,Proteomics.down
TMEM123,-2.018826031,0.0197013,Proteomics,down,Proteomics.down
PPP2R5C,-0.739217252,0.019704292,Proteomics,down,Proteomics.down
SLC38A9,0.636379108,0.019780128,Proteomics,up,Proteomics.up
WDR76,-1.846751018,0.019812148,Proteomics,down,Proteomics.down
UCK2,-0.757987095,0.019861937,Proteomics,down,Proteomics.down
NUDT9,-0.65124602,0.019956136,Proteomics,down,Proteomics.down
TRIP6,-1.161050266,0.019969059,Proteomics,down,Proteomics.down
ZWINT,0.706591084,0.020215129,Proteomics,up,Proteomics.up
BCAT1,-0.799452753,0.020231826,Proteomics,down,Proteomics.down
FBL,1.27947886,0.020231844,Proteomics,up,Proteomics.up
MTF2,-1.037005162,0.020235172,Proteomics,down,Proteomics.down
KTN1,0.815018247,0.020249689,Proteomics,up,Proteomics.up
RPE,-1.490405439,0.020368892,Proteomics,down,Proteomics.down
GORAB,-0.814906079,0.02038773,Proteomics,down,Proteomics.down
ERCC1,0.783600644,0.020408179,Proteomics,up,Proteomics.up
MED30,-0.674615533,0.020448121,Proteomics,down,Proteomics.down
AKAP12,-0.819238365,0.020575092,Proteomics,down,Proteomics.down
OLA1,-0.703093812,0.020634927,Proteomics,down,Proteomics.down
RPA1,0.589611522,0.020636306,Proteomics,up,Proteomics.up
COMMD2,-0.747727273,0.020740487,Proteomics,down,Proteomics.down
SIPA1L3,-0.75650854,0.020969226,Proteomics,down,Proteomics.down
HMOX2,-0.824708506,0.021021015,Proteomics,down,Proteomics.down
ASF1A,-1.261927366,0.021028393,Proteomics,down,Proteomics.down
CDH4,-1.14124924,0.021055873,Proteomics,down,Proteomics.down
ZYX,0.684682653,0.021073392,Proteomics,up,Proteomics.up
SLC19A2,-0.827329483,0.021321905,Proteomics,down,Proteomics.down
UBE2R2,-0.687277937,0.021353904,Proteomics,down,Proteomics.down
SKP2,-0.648429084,0.021389596,Proteomics,down,Proteomics.down
EMC2,-1.419529068,0.021464176,Proteomics,down,Proteomics.down
SORD,0.695508996,0.021508262,Proteomics,up,Proteomics.up
FAM120A,0.876312107,0.021517855,Proteomics,up,Proteomics.up
MIS18A,-0.633258945,0.021583726,Proteomics,down,Proteomics.down
PPAN,-0.602672708,0.021592759,Proteomics,down,Proteomics.down
ZNF574,0.598282766,0.021595185,Proteomics,up,Proteomics.up
APOBEC3C,-1.096001545,0.021839172,Proteomics,down,Proteomics.down
CTBP2,-0.918946354,0.021902674,Proteomics,down,Proteomics.down
ITGA6,0.88064327,0.02200556,Proteomics,up,Proteomics.up
SEC24A,-0.791565502,0.022087765,Proteomics,down,Proteomics.down
CSDE1,0.963570649,0.022152299,Proteomics,up,Proteomics.up
INSR,-0.620873345,0.022397938,Proteomics,down,Proteomics.down
WASF2,-0.864321696,0.022416431,Proteomics,down,Proteomics.down
CLN6,-1.355415097,0.022585507,Proteomics,down,Proteomics.down
SCAMP3,1.699788275,0.022625655,Proteomics,up,Proteomics.up
TRIOBP,-0.643134578,0.02274058,Proteomics,down,Proteomics.down
CMAS,-0.706988709,0.023147666,Proteomics,down,Proteomics.down
NUDT3,-0.812848221,0.023184652,Proteomics,down,Proteomics.down
CCDC51,0.608656342,0.023187821,Proteomics,up,Proteomics.up
APC,-1.190271483,0.023270055,Proteomics,down,Proteomics.down
PPP2R5E,-0.701625826,0.023385998,Proteomics,down,Proteomics.down
TOP1,1.215750299,0.023466431,Proteomics,up,Proteomics.up
ENY2,-0.736495053,0.023495072,Proteomics,down,Proteomics.down
CNOT4,-0.657152938,0.023571285,Proteomics,down,Proteomics.down
HNRNPA3,1.196532707,0.023602643,Proteomics,up,Proteomics.up
CEP78,-0.650371187,0.023822532,Proteomics,down,Proteomics.down
SPPL2A,1.033522817,0.023926969,Proteomics,up,Proteomics.up
CTNNAL1,-1.120792918,0.024015593,Proteomics,down,Proteomics.down
GAB2,-0.720407582,0.024064406,Proteomics,down,Proteomics.down
MTFR1L,-1.053991497,0.024199539,Proteomics,down,Proteomics.down
MDH1,1.2389623,0.024340548,Proteomics,up,Proteomics.up
ABCF1,0.811603831,0.024562977,Proteomics,up,Proteomics.up
PREP,-0.605795687,0.024664404,Proteomics,down,Proteomics.down
KCTD9,-0.866044775,0.025082282,Proteomics,down,Proteomics.down
SRXN1,-1.258362678,0.02512797,Proteomics,down,Proteomics.down
MFN1,-0.691109385,0.025142889,Proteomics,down,Proteomics.down
AHCY,0.846690763,0.025207493,Proteomics,up,Proteomics.up
UBP1,-1.132725579,0.025217551,Proteomics,down,Proteomics.down
DNAJC5,0.960576179,0.025313183,Proteomics,up,Proteomics.up
DTD1,1.079793515,0.025497333,Proteomics,up,Proteomics.up
TPR,1.022762038,0.025565731,Proteomics,up,Proteomics.up
FAM49B,-0.699351671,0.025581504,Proteomics,down,Proteomics.down
ZFPL1,-1.226713907,0.025608867,Proteomics,down,Proteomics.down
GAK,-0.608918941,0.025678057,Proteomics,down,Proteomics.down
AMIGO2,-0.656578028,0.025839286,Proteomics,down,Proteomics.down
PRR3,-0.689508756,0.025874351,Proteomics,down,Proteomics.down
PDCD7,-0.822924685,0.026005682,Proteomics,down,Proteomics.down
BNIP1,-1.117192275,0.02601454,Proteomics,down,Proteomics.down
RAD51,-1.032636204,0.02603798,Proteomics,down,Proteomics.down
PEX5,-0.601267491,0.026111166,Proteomics,down,Proteomics.down
DPY30,-0.813942739,0.026119576,Proteomics,down,Proteomics.down
PDCD6,-0.681056197,0.02619574,Proteomics,down,Proteomics.down
ATXN3,-0.983780147,0.026232107,Proteomics,down,Proteomics.down
ELP6,-0.923023883,0.026246862,Proteomics,down,Proteomics.down
EIF4A1,0.791857691,0.026380756,Proteomics,up,Proteomics.up
TNS3,-0.638382002,0.026566838,Proteomics,down,Proteomics.down
ANKRD40,-0.86910345,0.026576341,Proteomics,down,Proteomics.down
SUB1,1.009504486,0.026644354,Proteomics,up,Proteomics.up
C17orf53,-0.816942339,0.026716105,Proteomics,down,Proteomics.down
PSME4,0.824781773,0.026737049,Proteomics,up,Proteomics.up
AGR2,1.532304343,0.026821948,Proteomics,up,Proteomics.up
ATP6V0A1,-0.93347385,0.026852233,Proteomics,down,Proteomics.down
EDEM3,-0.834355467,0.026960354,Proteomics,down,Proteomics.down
RPL35,1.234704425,0.02699105,Proteomics,up,Proteomics.up
AAMDC,0.657257583,0.027000945,Proteomics,up,Proteomics.up
DNM2,1.067397532,0.027107431,Proteomics,up,Proteomics.up
SDHC,-1.197792314,0.027187578,Proteomics,down,Proteomics.down
RGL2,-0.608345475,0.027338627,Proteomics,down,Proteomics.down
CAMKK2,-1.027185735,0.027440892,Proteomics,down,Proteomics.down
SMARCB1,-0.634253635,0.027544372,Proteomics,down,Proteomics.down
S100A13,0.972821446,0.027559589,Proteomics,up,Proteomics.up
TXN2,-0.612455211,0.027611222,Proteomics,down,Proteomics.down
KPNB1,0.723701544,0.02763345,Proteomics,up,Proteomics.up
CAPG,1.809400408,0.027674911,Proteomics,up,Proteomics.up
MTERFD2,-0.946743602,0.027843817,Proteomics,down,Proteomics.down
DPH2,-0.607524088,0.02786347,Proteomics,down,Proteomics.down
IFT74,0.812657539,0.027890306,Proteomics,up,Proteomics.up
PIAS2,-1.088511507,0.027988137,Proteomics,down,Proteomics.down
ZBTB7B,0.592283453,0.028017728,Proteomics,up,Proteomics.up
TRAPPC2P1,0.929681819,0.028045029,Proteomics,up,Proteomics.up
FAM107B,-0.964478216,0.028046217,Proteomics,down,Proteomics.down
MT-ND4,-1.665188336,0.028056035,Proteomics,down,Proteomics.down
KANSL2,0.89785254,0.028063559,Proteomics,up,Proteomics.up
TYW3,-0.664041015,0.02806829,Proteomics,down,Proteomics.down
PLSCR1,0.817002638,0.028114419,Proteomics,up,Proteomics.up
LYN,-0.622150152,0.028257555,Proteomics,down,Proteomics.down
MICAL3,-0.937756462,0.028771029,Proteomics,down,Proteomics.down
ZYG11B,-0.766916816,0.029085807,Proteomics,down,Proteomics.down
PARP2,-0.898547693,0.029181052,Proteomics,down,Proteomics.down
SLIRP,-0.626386795,0.029569267,Proteomics,down,Proteomics.down
MYO9B,-0.646147775,0.029577176,Proteomics,down,Proteomics.down
AP2A1,0.970348929,0.029794461,Proteomics,up,Proteomics.up
COPS4,-1.344115093,0.030148313,Proteomics,down,Proteomics.down
MMS22L,-0.71467609,0.030287648,Proteomics,down,Proteomics.down
C6orf211,0.805467963,0.030629318,Proteomics,up,Proteomics.up
SAAL1,-0.980755409,0.030773766,Proteomics,down,Proteomics.down
POMGNT1,-1.615639357,0.031701163,Proteomics,down,Proteomics.down
ELMOD2,-1.757373257,0.031760587,Proteomics,down,Proteomics.down
MRPL28,0.69825943,0.031762154,Proteomics,up,Proteomics.up
GCSH,-1.01629503,0.031940553,Proteomics,down,Proteomics.down
HDDC3,0.607841972,0.032316506,Proteomics,up,Proteomics.up
HDGFRP2,-0.6963476,0.032330484,Proteomics,down,Proteomics.down
CYB561D2,1.813991677,0.032342374,Proteomics,up,Proteomics.up
GINS4,-0.963947359,0.032392224,Proteomics,down,Proteomics.down
LITAF,0.622704588,0.032463921,Proteomics,up,Proteomics.up
FARP1,-0.836242805,0.032536458,Proteomics,down,Proteomics.down
NMD3,0.964455455,0.033109869,Proteomics,up,Proteomics.up
CD151,0.672376964,0.033116158,Proteomics,up,Proteomics.up
HSPA2,1.200601722,0.033504976,Proteomics,up,Proteomics.up
HNRNPUL2,1.012652258,0.033659451,Proteomics,up,Proteomics.up
HNMT,1.274992401,0.033806486,Proteomics,up,Proteomics.up
IAH1,-0.785086943,0.033997527,Proteomics,down,Proteomics.down
ZWILCH,-0.847386929,0.034095988,Proteomics,down,Proteomics.down
PUS7L,-2.394328049,0.034125241,Proteomics,down,Proteomics.down
WDR24,-0.928178923,0.034287288,Proteomics,down,Proteomics.down
MT-ATP8,1.405629296,0.034500328,Proteomics,up,Proteomics.up
GTSE1,-0.91201899,0.034532873,Proteomics,down,Proteomics.down
TMEM120A,-0.876504242,0.034666119,Proteomics,down,Proteomics.down
SEMA4B,0.6668435,0.034728385,Proteomics,up,Proteomics.up
CLK3,-1.321681383,0.034738836,Proteomics,down,Proteomics.down
ANKHD1,0.888141227,0.034845882,Proteomics,up,Proteomics.up
PRKRA,0.638237773,0.034898621,Proteomics,up,Proteomics.up
CDC42EP4,0.640575168,0.034917042,Proteomics,up,Proteomics.up
GPSM2,-0.884570057,0.03503262,Proteomics,down,Proteomics.down
FADD,-0.766462548,0.035265299,Proteomics,down,Proteomics.down
GOSR2,-1.62313812,0.035720567,Proteomics,down,Proteomics.down
COMMD3,0.582274559,0.035868012,Proteomics,up,Proteomics.up
PHF10,-0.934195508,0.035913208,Proteomics,down,Proteomics.down
PEAK1,-0.823916779,0.03592008,Proteomics,down,Proteomics.down
MBOAT7,-0.768037313,0.035995846,Proteomics,down,Proteomics.down
ESAM,0.859500129,0.036071943,Proteomics,up,Proteomics.up
TRAPPC9,-1.023052278,0.036185951,Proteomics,down,Proteomics.down
RPRD1A,-0.744384318,0.036311151,Proteomics,down,Proteomics.down
STX6,-1.417267248,0.036588885,Proteomics,down,Proteomics.down
QRSL1,-1.008543883,0.036644364,Proteomics,down,Proteomics.down
HIGD1A,-0.950628535,0.036751227,Proteomics,down,Proteomics.down
SUMO3,2.148489037,0.036769346,Proteomics,up,Proteomics.up
TFG,0.693827804,0.036923854,Proteomics,up,Proteomics.up
POM121,-0.902508859,0.037034597,Proteomics,down,Proteomics.down
SECISBP2L,-2.797675029,0.037098625,Proteomics,down,Proteomics.down
ATPAF1,-1.457627204,0.03721919,Proteomics,down,Proteomics.down
RER1,0.784800393,0.037219353,Proteomics,up,Proteomics.up
TIPRL,0.59333168,0.037243875,Proteomics,up,Proteomics.up
NDUFB10,1.476502861,0.037259849,Proteomics,up,Proteomics.up
GDPGP1,0.96110618,0.03735058,Proteomics,up,Proteomics.up
FLCN,-0.836185857,0.037486447,Proteomics,down,Proteomics.down
HIF1AN,0.801575685,0.03755498,Proteomics,up,Proteomics.up
YOD1,-0.61049587,0.037637874,Proteomics,down,Proteomics.down
TMEM9B,-1.482945086,0.037890929,Proteomics,down,Proteomics.down
COX6A1,-1.286632867,0.038323814,Proteomics,down,Proteomics.down
IFIT5,-0.598744339,0.038673162,Proteomics,down,Proteomics.down
OCLN,-0.725006458,0.039025107,Proteomics,down,Proteomics.down
VAV2,-0.993492192,0.039054834,Proteomics,down,Proteomics.down
HOOK2,3.220397266,0.039084121,Proteomics,up,Proteomics.up
MZT2B,-0.850643832,0.039168103,Proteomics,down,Proteomics.down
KLHL25,-0.683604191,0.039270778,Proteomics,down,Proteomics.down
RALGAPA1,-1.052592488,0.03929103,Proteomics,down,Proteomics.down
TATDN1,-1.037746751,0.039441548,Proteomics,down,Proteomics.down
TUBB,0.681028004,0.039577334,Proteomics,up,Proteomics.up
OSBPL6,-0.7858705,0.039872223,Proteomics,down,Proteomics.down
LPCAT2,-0.769071685,0.039888325,Proteomics,down,Proteomics.down
RAB43,-0.663244779,0.040484009,Proteomics,down,Proteomics.down
ETNK2,-0.945195453,0.040737268,Proteomics,down,Proteomics.down
CENPU,-0.782041918,0.04073735,Proteomics,down,Proteomics.down
ESYT1,-1.14092036,0.041032858,Proteomics,down,Proteomics.down
PDE7B,2.964273312,0.041128424,Proteomics,up,Proteomics.up
FAM192A,0.63842893,0.041158211,Proteomics,up,Proteomics.up
NR2C2,-0.774131764,0.04118579,Proteomics,down,Proteomics.down
MAX,1.73110879,0.0413519,Proteomics,up,Proteomics.up
PNPLA2,-0.62257358,0.041515412,Proteomics,down,Proteomics.down
PPP1R18,1.474843022,0.041717137,Proteomics,up,Proteomics.up
PGD,1.878339995,0.041754176,Proteomics,up,Proteomics.up
CA13,1.340657747,0.041842608,Proteomics,up,Proteomics.up
RAB4A,-1.244190691,0.041842761,Proteomics,down,Proteomics.down
NDUFV3,0.650103543,0.041931933,Proteomics,up,Proteomics.up
NCF2,-1.088545871,0.042020612,Proteomics,down,Proteomics.down
GPC1,-1.399175453,0.042364345,Proteomics,down,Proteomics.down
CHMP2A,0.773260673,0.042552189,Proteomics,up,Proteomics.up
KLC4,-0.88515642,0.042791955,Proteomics,down,Proteomics.down
RBM22,-0.75888035,0.043153171,Proteomics,down,Proteomics.down
UBE2F,1.2534069,0.043828488,Proteomics,up,Proteomics.up
RAB38,-0.745171787,0.043847201,Proteomics,down,Proteomics.down
TUBA4A,-0.649082741,0.044122006,Proteomics,down,Proteomics.down
PTGES2,0.653515126,0.04417147,Proteomics,up,Proteomics.up
VPS25,-1.057124766,0.044211453,Proteomics,down,Proteomics.down
POU2F1,-0.931608659,0.044306528,Proteomics,down,Proteomics.down
HPS6,-0.64111028,0.04438806,Proteomics,down,Proteomics.down
UBE2D1,-1.62854119,0.044425758,Proteomics,down,Proteomics.down
SCFD2,-1.487554565,0.044507361,Proteomics,down,Proteomics.down
PXDN,-0.72765982,0.04470627,Proteomics,down,Proteomics.down
ZKSCAN8,-0.83086339,0.044716878,Proteomics,down,Proteomics.down
KLHDC4,-0.599812431,0.045029136,Proteomics,down,Proteomics.down
INTS7,-1.572335159,0.045162062,Proteomics,down,Proteomics.down
CS,1.369039072,0.045625909,Proteomics,up,Proteomics.up
RBM24,-0.941519742,0.045729871,Proteomics,down,Proteomics.down
RBM38,-0.941519742,0.045729871,Proteomics,down,Proteomics.down
MAP1LC3B,-0.998279368,0.045914797,Proteomics,down,Proteomics.down
