Ensembl,Entry,UNIPROT,Chrom,Gene.Name,Biotype
ENSG00000272861,NA,NA,2,RP11-332H14.1,lincRNA
ENSG00000272994,NA,NA,2,RP11-332H14.2,lincRNA
ENSG00000249734,NA,NA,5,RP11-332J15.1,lincRNA
ENSG00000164451,Q5JW98,CAHM4_HUMAN,6,FAM26D,protein_coding
ENSG00000178033,Q8N5C1,CAHM5_HUMAN,6,FAM26E,protein_coding
ENSG00000188820,Q5R3K3,CAHM6_HUMAN,6,FAM26F,protein_coding
ENSG00000250060,NA,NA,5,RP11-332J15.2,lincRNA
ENSG00000251365,NA,NA,5,RP11-332J15.3,lincRNA
ENSG00000272071,NA,NA,5,RP11-332J15.4,lincRNA
ENSG00000229345,NA,NA,9,RP11-332M4.1,lincRNA
ENSG00000253967,NA,NA,8,RP11-333A23.4,lincRNA
ENSG00000263164,NA,NA,17,RP11-333E1.2,lincRNA
ENSG00000260977,NA,NA,2,RP11-333I13.1,lincRNA
ENSG00000204805,A0A494C193,A0A494C193_HUMAN,9,FAM27E4,pseudogene
ENSG00000261117,NA,NA,2,RP11-333O1.1,lincRNA
ENSG00000105058,Q9Y421,FA32A_HUMAN,19,FAM32A,protein_coding
ENSG00000203605,NA,NA,1,RP11-335E6.2,lincRNA
ENSG00000122376,Q86V20,SHLD2_HUMAN,10,FAM35A,protein_coding
ENSG00000228734,NA,NA,1,RP11-335E6.3,lincRNA
ENSG00000271593,NA,NA,1,RP11-335E6.4,lincRNA
ENSG00000273180,NA,NA,4,RP11-335L23.4,lincRNA
ENSG00000272784,NA,NA,4,RP11-335L23.5,lincRNA
ENSG00000071889,P98173,FAM3A_HUMAN,X,FAM3A,protein_coding
ENSG00000183844,P58499,FAM3B_HUMAN,21,FAM3B,protein_coding
ENSG00000196937,Q92520,FAM3C_HUMAN,7,FAM3C,protein_coding
ENSG00000256077,NA,NA,12,RP11-335O4.1,lincRNA
ENSG00000198643,Q96BQ1,FAM3D_HUMAN,3,FAM3D,protein_coding
ENSG00000228951,NA,NA,10,RP11-336A10.4,lincRNA
ENSG00000231483,NA,NA,10,RP11-336A10.5,lincRNA
ENSG00000253400,NA,NA,9,RP11-337A23.6,lincRNA
ENSG00000185112,Q8N2R8,FA43A_HUMAN,3,FAM43A,protein_coding
ENSG00000183114,Q6ZT52,FA43B_HUMAN,1,FAM43B,protein_coding
ENSG00000119979,Q8TCE6,DEN10_HUMAN,10,FAM45A,protein_coding
ENSG00000256085,NA,NA,12,RP11-337L12.1,lincRNA
ENSG00000112773,Q96IP4,TET5A_HUMAN,6,FAM46A,protein_coding
ENSG00000158246,Q96A09,TET5B_HUMAN,1,FAM46B,protein_coding
ENSG00000183508,Q5VWP2,TET5C_HUMAN,1,FAM46C,protein_coding
ENSG00000174016,Q8NEK8,TET5D_HUMAN,X,FAM46D,protein_coding
ENSG00000185448,Q5JRC9,FA47A_HUMAN,X,FAM47A,protein_coding
ENSG00000189132,Q8NA70,FA47B_HUMAN,X,FAM47B,protein_coding
ENSG00000198173,Q5HY64,FA47C_HUMAN,X,FAM47C,protein_coding
ENSG00000237980,NA,NA,1,RP11-338C15.3,lincRNA
ENSG00000189157,Q6ZV65,FA47E_HUMAN,4,FAM47E,protein_coding
ENSG00000272414,D6RA91,D6RA91_HUMAN,4,FAM47E-STBD1,protein_coding
ENSG00000197872,Q9H0Q0,CYRIA_HUMAN,2,FAM49A,protein_coding
ENSG00000153310,Q9NUQ9,CYRIB_HUMAN,8,FAM49B,protein_coding
ENSG00000071859,Q14320,FA50A_HUMAN,X,FAM50A,protein_coding
ENSG00000145945,Q9Y247,FA50B_HUMAN,6,FAM50B,protein_coding
ENSG00000174137,Q6NSI3,FA53A_HUMAN,4,FAM53A,protein_coding
ENSG00000189319,Q14153,FA53B_HUMAN,10,FAM53B,protein_coding
ENSG00000250390,NA,NA,11,RP11-338H14.1,lincRNA
ENSG00000120709,Q9NYF3,FA53C_HUMAN,5,FAM53C,protein_coding
ENSG00000167695,Q8TBR7,TLC3A_HUMAN,17,FAM57A,protein_coding
ENSG00000149926,Q71RH2,TLC3B_HUMAN,16,FAM57B,protein_coding
ENSG00000255839,NA,NA,12,RP11-338K17.8,lincRNA
ENSG00000242012,NA,NA,3,RP11-338L18.1,lincRNA
ENSG00000270171,NA,NA,1,RP11-338N10.1,lincRNA
ENSG00000270035,NA,NA,1,RP11-338N10.2,lincRNA
ENSG00000139146,Q9NP50,SHCAF_HUMAN,12,FAM60A,protein_coding
ENSG00000269978,NA,NA,1,RP11-338N10.3,lincRNA
ENSG00000225152,NA,NA,10,RP11-338O1.2,lincRNA
ENSG00000143409,Q8N5J2,MINY1_HUMAN,1,FAM63A,protein_coding
ENSG00000128923,Q8NBR6,MINY2_HUMAN,15,FAM63B,protein_coding
ENSG00000129195,Q9BSJ6,PIMRE_HUMAN,17,FAM64A,protein_coding
ENSG00000039523,Q6ZS17,RIPR1_HUMAN,16,FAM65A,protein_coding
ENSG00000111913,Q9Y4F9,RIPR2_HUMAN,6,FAM65B,protein_coding
ENSG00000042062,Q96MK2,RIPR3_HUMAN,20,FAM65C,protein_coding
ENSG00000260322,NA,NA,1,RP11-339A11.2,lincRNA
ENSG00000272593,NA,NA,9,RP11-339B21.11,lincRNA
ENSG00000273281,NA,NA,9,RP11-339B21.14,lincRNA
ENSG00000272960,NA,NA,9,RP11-339B21.15,lincRNA
ENSG00000225598,NA,NA,1,RP11-339D23.1,lincRNA
ENSG00000154511,Q5T7M9,DIK1A_HUMAN,1,FAM69A,protein_coding
ENSG00000165716,Q5VUD6,DIK1B_HUMAN,9,FAM69B,protein_coding
ENSG00000187773,Q0P6D2,DIK1C_HUMAN,18,FAM69C,protein_coding
ENSG00000162771,Q8IYT1,FA71A_HUMAN,1,FAM71A,protein_coding
ENSG00000170613,Q8TC56,FA71B_HUMAN,5,FAM71B,protein_coding
ENSG00000180219,Q8NEG0,FA71C_HUMAN,12,FAM71C,protein_coding
ENSG00000172717,Q8N9W8,FA71D_HUMAN,14,FAM71D,protein_coding
ENSG00000142530,Q6IPT2,F71E1_HUMAN,19,FAM71E1,protein_coding
ENSG00000180043,Q8N5Q1,F71E2_HUMAN,19,FAM71E2,protein_coding
ENSG00000135248,Q96KD3,F71F1_HUMAN,7,FAM71F1,protein_coding
ENSG00000205085,Q6NXP2,F71F2_HUMAN,7,FAM71F2,protein_coding
ENSG00000196550,Q5TYM5,FA72A_HUMAN,1,FAM72A,protein_coding
ENSG00000188610,Q86X60,FA72B_HUMAN,1,FAM72B,protein_coding
ENSG00000231678,NA,NA,9,RP11-339N8.1,lincRNA
ENSG00000215784,Q6L9T8,FA72D_HUMAN,1,FAM72D,protein_coding
ENSG00000180488,Q8NAN2,MIGA1_HUMAN,1,FAM73A,protein_coding
ENSG00000148343,Q7L4E1,MIGA2_HUMAN,9,FAM73B,protein_coding
ENSG00000223930,NA,NA,3,RP11-33A14.1,lincRNA
ENSG00000250950,NA,NA,4,RP11-33B1.3,lincRNA
ENSG00000260091,NA,NA,4,RP11-33B1.4,lincRNA
ENSG00000236306,NA,NA,9,RP11-33G16.1,lincRNA
ENSG00000272880,NA,NA,1,RP11-33M22.2,lincRNA
ENSG00000272644,NA,NA,2,RP11-33O4.1,lincRNA
ENSG00000009780,Q8TAV0,FA76A_HUMAN,1,FAM76A,protein_coding
ENSG00000077458,Q5HYJ3,FA76B_HUMAN,11,FAM76B,protein_coding
ENSG00000126882,Q5JUQ0,FA78A_HUMAN,9,FAM78A,protein_coding
ENSG00000188859,Q5VT40,FA78B_HUMAN,1,FAM78B,protein_coding
ENSG00000157470,Q8TBF8,FA81A_HUMAN,15,FAM81A,protein_coding
ENSG00000153347,Q96LP2,FA81B_HUMAN,5,FAM81B,protein_coding
ENSG00000147689,Q86UY5,FA83A_HUMAN,8,FAM83A,protein_coding
ENSG00000251266,NA,NA,4,RP11-340A13.2,lincRNA
ENSG00000168143,Q5T0W9,FA83B_HUMAN,6,FAM83B,protein_coding
ENSG00000125998,Q9BQN1,FA83C_HUMAN,20,FAM83C,protein_coding
ENSG00000250375,NA,NA,4,RP11-340A13.3,lincRNA
ENSG00000101447,Q9H4H8,FA83D_HUMAN,20,FAM83D,protein_coding
ENSG00000105523,Q2M2I3,FA83E_HUMAN,19,FAM83E,protein_coding
ENSG00000133477,Q8NEG4,FA83F_HUMAN,22,FAM83F,protein_coding
ENSG00000188522,A6ND36,FA83G_HUMAN,17,FAM83G,protein_coding
ENSG00000180921,Q6ZRV2,FA83H_HUMAN,8,FAM83H,protein_coding
ENSG00000203499,A8MXQ7,IQAK1_HUMAN,8,FAM83H-AS1,lincRNA
ENSG00000162981,Q96KN4,LRAT1_HUMAN,2,FAM84A,protein_coding
ENSG00000168672,Q96KN1,LRAT2_HUMAN,8,FAM84B,protein_coding
ENSG00000249500,NA,NA,4,RP11-340B18.1,lincRNA
ENSG00000242104,NA,NA,3,RP11-340E6.1,lincRNA
ENSG00000118894,Q96G04,EF2KT_HUMAN,16,FAM86A,protein_coding
ENSG00000186523,Q8N7N1,F86B1_HUMAN,8,FAM86B1,protein_coding
ENSG00000145002,P0C5J1,F86B2_HUMAN,8,FAM86B2,protein_coding
ENSG00000272177,NA,NA,2,RP11-340F16.1,lincRNA
ENSG00000234387,NA,NA,7,RP11-340I6.1,lincRNA
ENSG00000227305,NA,NA,7,RP11-340I6.3,lincRNA
ENSG00000236299,NA,NA,7,RP11-340I6.7,lincRNA
ENSG00000226581,NA,NA,7,RP11-340I6.8,lincRNA
ENSG00000225564,NA,NA,9,RP11-341A22.2,lincRNA
ENSG00000250634,NA,NA,4,RP11-341G5.1,lincRNA
ENSG00000250252,NA,NA,4,RP11-342A1.1,lincRNA
ENSG00000232636,NA,NA,13,RP11-342C20.2,lincRNA
ENSG00000230761,NA,NA,10,RP11-342C24.8,lincRNA
ENSG00000233387,NA,NA,10,RP11-342D11.3,lincRNA
ENSG00000270996,NA,NA,2,RP11-342K6.4,lincRNA
ENSG00000241317,NA,NA,10,RP11-342M3.1,lincRNA
ENSG00000259676,NA,NA,15,RP11-343B18.2,lincRNA
ENSG00000182118,Q96GI7,FA89A_HUMAN,1,FAM89A,protein_coding
ENSG00000176973,Q8N5H3,LRA25_HUMAN,11,FAM89B,protein_coding
ENSG00000137414,Q9UBU6,FA8A1_HUMAN,6,FAM8A1,protein_coding
ENSG00000231273,NA,NA,6,RP11-343D24.2,lincRNA
ENSG00000228392,NA,NA,9,RP11-343J18.1,lincRNA
ENSG00000232413,NA,NA,9,RP11-343J18.2,lincRNA
ENSG00000271862,NA,NA,5,RP11-343L5.2,lincRNA
ENSG00000171847,Q86YD7,F90A1_HUMAN,12,FAM90A1,protein_coding
ENSG00000230806,NA,NA,1,RP11-343N15.1,lincRNA
ENSG00000231429,NA,NA,1,RP11-343N15.2,lincRNA
ENSG00000269996,NA,NA,1,RP11-343N15.5,lincRNA
ENSG00000261219,NA,NA,15,RP11-344A16.2,lincRNA
ENSG00000224307,NA,NA,9,RP11-344B5.2,lincRNA
ENSG00000241084,NA,NA,9,RP11-344B5.3,lincRNA
ENSG00000231606,NA,NA,1,RP11-344F13.1,lincRNA
ENSG00000248872,NA,NA,4,RP11-344G13.1,lincRNA
ENSG00000223469,NA,NA,6,RP11-344J7.2,lincRNA
ENSG00000233945,NA,NA,10,RP11-344L13.2,lincRNA
ENSG00000272630,NA,NA,10,RP11-344N10.5,lincRNA
ENSG00000230100,NA,NA,X,RP11-344N17.8,lincRNA
ENSG00000224857,NA,NA,1,RP11-344P13.1,lincRNA
ENSG00000228826,NA,NA,1,RP11-344P13.4,lincRNA
ENSG00000272583,NA,NA,1,RP11-344P13.6,lincRNA
ENSG00000260876,NA,NA,16,RP11-345M22.1,lincRNA
ENSG00000229924,D6RGX4,F90AP_HUMAN,4,FAM90A26,protein_coding
ENSG00000261390,NA,NA,16,RP11-345M22.2,lincRNA
ENSG00000261082,NA,NA,16,RP11-345M22.3,lincRNA
ENSG00000271009,NA,NA,16,RP11-346C20.3,lincRNA
ENSG00000272250,NA,NA,16,RP11-346C20.4,lincRNA
ENSG00000259380,NA,NA,15,RP11-346D14.1,lincRNA
ENSG00000236347,NA,NA,6,RP11-346D19.1,lincRNA
ENSG00000231131,NA,NA,10,RP11-346D6.6,lincRNA
ENSG00000246145,NA,NA,8,RP11-346I3.4,lincRNA
ENSG00000249787,NA,NA,5,RP11-346J10.1,lincRNA
ENSG00000260219,NA,NA,16,RP11-347C12.10,lincRNA
ENSG00000176853,Q658Y4,F91A1_HUMAN,8,FAM91A1,protein_coding
ENSG00000188343,A1XBS5,FA92A_HUMAN,8,FAM92A1,protein_coding
ENSG00000234967,NA,NA,20,RP11-347D21.1,lincRNA
ENSG00000228503,NA,NA,20,RP11-347D21.2,lincRNA
ENSG00000153789,Q6ZTR7,CBAR2_HUMAN,16,FAM92B,protein_coding
ENSG00000237423,NA,NA,20,RP11-347D21.3,lincRNA
ENSG00000166797,Q9H5X1,CIA2A_HUMAN,15,FAM96A,protein_coding
ENSG00000229522,NA,NA,20,RP11-347D21.4,lincRNA
ENSG00000254416,NA,NA,11,RP11-347E10.1,lincRNA
ENSG00000166595,Q9Y3D0,CIA2B_HUMAN,16,FAM96B,protein_coding
ENSG00000119812,Q8NCA5,FA98A_HUMAN,2,FAM98A,protein_coding
ENSG00000171262,Q52LJ0,FA98B_HUMAN,15,FAM98B,protein_coding
ENSG00000130244,Q17RN3,FA98C_HUMAN,19,FAM98C,protein_coding
ENSG00000254518,NA,NA,11,RP11-347H15.4,lincRNA
ENSG00000272849,NA,NA,12,RP11-347I19.8,lincRNA
ENSG00000183304,Q8IZU1,FAM9A_HUMAN,X,FAM9A,protein_coding
ENSG00000177138,Q8IZU0,FAM9B_HUMAN,X,FAM9B,protein_coding
ENSG00000187268,Q8IZT9,FAM9C_HUMAN,X,FAM9C,protein_coding
ENSG00000198690,Q9Y2M0,FAN1_HUMAN,15,FAN1,protein_coding
ENSG00000187741,O15360,FANCA_HUMAN,16,FANCA,protein_coding
ENSG00000181544,Q8NB91,FANCB_HUMAN,X,FANCB,protein_coding
ENSG00000158169,Q00597,FANCC_HUMAN,9,FANCC,protein_coding
ENSG00000144554,Q9BXW9,FACD2_HUMAN,3,FANCD2,protein_coding
ENSG00000163705,Q96PS1,FACOS_HUMAN,3,FANCD2OS,protein_coding
ENSG00000231140,NA,NA,9,RP11-347J14.7,lincRNA
ENSG00000112039,Q9HB96,FANCE_HUMAN,6,FANCE,protein_coding
ENSG00000183161,Q9NPI8,FANCF_HUMAN,11,FANCF,protein_coding
ENSG00000221829,O15287,FANCG_HUMAN,9,FANCG,protein_coding
ENSG00000140525,Q9NVI1,FANCI_HUMAN,15,FANCI,protein_coding
ENSG00000115392,Q9NW38,FANCL_HUMAN,2,FANCL,protein_coding
ENSG00000187790,Q8IYD8,FANCM_HUMAN,14,FANCM,protein_coding
ENSG00000203780,Q8TC84,FANK1_HUMAN,10,FANK1,protein_coding
ENSG00000224038,NA,NA,9,RP11-347J14.8,lincRNA
ENSG00000078098,Q12884,SEPR_HUMAN,2,FAP,protein_coding
ENSG00000197601,Q8WVX9,FACR1_HUMAN,11,FAR1,protein_coding
ENSG00000232753,NA,NA,1,RP11-347K2.1,lincRNA
ENSG00000234037,NA,NA,1,RP11-347K2.2,lincRNA
ENSG00000064763,Q96K12,FACR2_HUMAN,12,FAR2,protein_coding
ENSG00000226739,NA,NA,6,RP11-347L18.1,lincRNA
ENSG00000226530,NA,NA,X,RP11-348F1.2,lincRNA
ENSG00000248864,NA,NA,5,RP11-348J24.1,lincRNA
ENSG00000250049,NA,NA,5,RP11-348J24.2,lincRNA
ENSG00000152767,Q9Y4F1,FARP1_HUMAN,13,FARP1,protein_coding
ENSG00000272077,NA,NA,3,RP11-348P10.2,lincRNA
ENSG00000006607,O94887,FARP2_HUMAN,2,FARP2,protein_coding
ENSG00000145982,O95363,SYFM_HUMAN,6,FARS2,protein_coding
ENSG00000179115,Q9Y285,SYFA_HUMAN,19,FARSA,protein_coding
ENSG00000116120,Q9NSD9,SYFB_HUMAN,2,FARSB,protein_coding
ENSG00000225050,NA,NA,9,RP11-349E4.1,lincRNA
ENSG00000026103,P25445,TNR6_HUMAN,10,FAS,protein_coding
ENSG00000117560,P48023,TNFL6_HUMAN,1,FASLG,protein_coding
ENSG00000169710,P49327,FAS_HUMAN,17,FASN,protein_coding
ENSG00000164896,Q14296,FASTK_HUMAN,7,FASTK,protein_coding
ENSG00000138399,Q53R41,FAKD1_HUMAN,2,FASTKD1,protein_coding
ENSG00000118246,Q9NYY8,FAKD2_HUMAN,2,FASTKD2,protein_coding
ENSG00000124279,Q14CZ7,FAKD3_HUMAN,5,FASTKD3,protein_coding
ENSG00000215251,Q7L8L6,FAKD5_HUMAN,20,FASTKD5,protein_coding
ENSG00000083857,Q14517,FAT1_HUMAN,4,FAT1,protein_coding
ENSG00000256643,NA,NA,12,RP11-349K16.1,lincRNA
ENSG00000086570,Q9NYQ8,FAT2_HUMAN,5,FAT2,protein_coding
ENSG00000165323,Q8TDW7,FAT3_HUMAN,11,FAT3,protein_coding
ENSG00000196159,Q6V0I7,FAT4_HUMAN,4,FAT4,protein_coding
ENSG00000147378,Q969F0,FATE1_HUMAN,X,FATE1,protein_coding
ENSG00000149806,P35544,UBIM_HUMAN,11,FAU,protein_coding
ENSG00000230096,NA,NA,10,RP11-34C15.2,lincRNA
ENSG00000245719,NA,NA,15,RP11-34F13.2,lincRNA
ENSG00000146267,Q5TGI0,FAXC_HUMAN,6,FAXC,protein_coding
ENSG00000170271,Q96IV6,FXDC2_HUMAN,5,FAXDC2,protein_coding
ENSG00000188878,Q8TES7,FBF1_HUMAN,17,FBF1,protein_coding
ENSG00000105202,P22087,FBRL_HUMAN,19,FBL,protein_coding
ENSG00000162458,Q8WUP2,FBLI1_HUMAN,1,FBLIM1,protein_coding
ENSG00000188573,A6NHQ2,FBLL1_HUMAN,5,FBLL1,protein_coding
ENSG00000077942,P23142,FBLN1_HUMAN,22,FBLN1,protein_coding
ENSG00000163520,P98095,FBLN2_HUMAN,3,FBLN2,protein_coding
ENSG00000140092,Q9UBX5,FBLN5_HUMAN,14,FBLN5,protein_coding
ENSG00000144152,Q53RD9,FBLN7_HUMAN,2,FBLN7,protein_coding
ENSG00000166147,P35555,FBN1_HUMAN,15,FBN1,protein_coding
ENSG00000138829,P35556,FBN2_HUMAN,5,FBN2,protein_coding
ENSG00000142449,Q75N90,FBN3_HUMAN,19,FBN3,protein_coding
ENSG00000165140,P09467,F16P1_HUMAN,9,FBP1,protein_coding
ENSG00000130957,O00757,F16P2_HUMAN,9,FBP2,protein_coding
ENSG00000156860,Q9HAH7,FBRS_HUMAN,16,FBRS,protein_coding
ENSG00000112787,Q9HCM7,FBSL_HUMAN,12,FBRSL1,protein_coding
ENSG00000127452,Q9NXK8,FXL12_HUMAN,19,FBXL12,protein_coding
ENSG00000161040,Q8NEE6,DRC6_HUMAN,7,FBXL13,protein_coding
ENSG00000171823,Q8N1E6,FXL14_HUMAN,12,FBXL14,protein_coding
ENSG00000107872,Q9H469,FXL15_HUMAN,10,FBXL15,protein_coding
ENSG00000127585,Q8N461,FXL16_HUMAN,16,FBXL16,protein_coding
ENSG00000145743,Q9UF56,FXL17_HUMAN,5,FBXL17,protein_coding
ENSG00000155034,Q96ME1,FXL18_HUMAN,7,FBXL18,protein_coding
ENSG00000099364,Q6PCT2,FXL19_HUMAN,16,FBXL19,protein_coding
ENSG00000255357,NA,NA,11,RP11-34N19.1,lincRNA
ENSG00000153558,Q9UKC9,FBXL2_HUMAN,3,FBXL2,protein_coding
ENSG00000108306,Q96IG2,FXL20_HUMAN,17,FBXL20,protein_coding
ENSG00000238009,NA,NA,1,RP11-34P13.7,lincRNA
ENSG00000197361,Q6P050,FXL22_HUMAN,15,FBXL22,protein_coding
ENSG00000005812,Q9UKT7,FBXL3_HUMAN,13,FBXL3,protein_coding
ENSG00000112234,Q9UKA2,FBXL4_HUMAN,6,FBXL4,protein_coding
ENSG00000118564,Q9UKA1,FBXL5_HUMAN,4,FBXL5,protein_coding
ENSG00000182325,Q8N531,FBXL6_HUMAN,8,FBXL6,protein_coding
ENSG00000183580,Q9UJT9,FBXL7_HUMAN,5,FBXL7,protein_coding
ENSG00000135722,Q96CD0,FBXL8_HUMAN,16,FBXL8,protein_coding
ENSG00000147912,Q9UK96,FBX10_HUMAN,9,FBXO10,protein_coding
ENSG00000138081,Q86XK2,FBX11_HUMAN,2,FBXO11,protein_coding
ENSG00000141665,Q8NCQ5,FBX15_HUMAN,18,FBXO15,protein_coding
ENSG00000214050,Q8IX29,FBX16_HUMAN,8,FBXO16,protein_coding
ENSG00000269190,Q96EF6,FBX17_HUMAN,19,FBXO17,protein_coding
ENSG00000134452,Q8NFZ0,FBH1_HUMAN,10,FBXO18,protein_coding
ENSG00000116661,Q9UK22,FBX2_HUMAN,1,FBXO2,protein_coding
ENSG00000135108,O94952,FBX21_HUMAN,12,FBXO21,protein_coding
ENSG00000167196,Q8NEZ5,FBX22_HUMAN,15,FBXO22,protein_coding
ENSG00000106336,O75426,FBX24_HUMAN,7,FBXO24,protein_coding
ENSG00000147364,Q8TCJ0,FBX25_HUMAN,8,FBXO25,protein_coding
ENSG00000161243,Q8NI29,FBX27_HUMAN,19,FBXO27,protein_coding
ENSG00000143756,Q9NVF7,FBX28_HUMAN,1,FBXO28,protein_coding
ENSG00000110429,Q9UK99,FBX3_HUMAN,11,FBXO3,protein_coding
ENSG00000118496,Q8TB52,FBX30_HUMAN,6,FBXO30,protein_coding
ENSG00000103264,Q5XUX0,FBX31_HUMAN,16,FBXO31,protein_coding
ENSG00000156804,Q969P5,FBX32_HUMAN,8,FBXO32,protein_coding
ENSG00000165355,Q7Z6M2,FBX33_HUMAN,14,FBXO33,protein_coding
ENSG00000178974,Q9NWN3,FBX34_HUMAN,14,FBXO34,protein_coding
ENSG00000153832,Q8NEA4,FBX36_HUMAN,2,FBXO36,protein_coding
ENSG00000239945,NA,NA,1,RP11-34P13.8,lincRNA
ENSG00000145868,Q6PIJ6,FBX38_HUMAN,5,FBXO38,protein_coding
ENSG00000177294,Q8N4B4,FBX39_HUMAN,17,FBXO39,protein_coding
ENSG00000151876,Q9UKT5,FBX4_HUMAN,5,FBXO4,protein_coding
ENSG00000163833,Q9UH90,FBX40_HUMAN,3,FBXO40,protein_coding
ENSG00000163013,Q8TF61,FBX41_HUMAN,2,FBXO41,protein_coding
ENSG00000037637,Q6P3S6,FBX42_HUMAN,1,FBXO42,protein_coding
ENSG00000156509,Q4G163,FBX43_HUMAN,8,FBXO43,protein_coding
ENSG00000132879,Q9H4M3,FBX44_HUMAN,1,FBXO44,protein_coding
ENSG00000174013,P0C2W1,FBSP1_HUMAN,3,FBXO45,protein_coding
ENSG00000177051,Q6PJ61,FBX46_HUMAN,19,FBXO46,protein_coding
ENSG00000204952,Q5MNV8,FBX47_HUMAN,17,FBXO47,protein_coding
ENSG00000204923,Q5FWF7,FBX48_HUMAN,2,FBXO48,protein_coding
ENSG00000112029,Q9UKT4,FBX5_HUMAN,6,FBXO5,protein_coding
ENSG00000116663,Q9NRD1,FBX6_HUMAN,1,FBXO6,protein_coding
ENSG00000100225,Q9Y3I1,FBX7_HUMAN,22,FBXO7,protein_coding
ENSG00000164117,Q9NRD0,FBX8_HUMAN,4,FBXO8,protein_coding
ENSG00000112146,Q9UK97,FBX9_HUMAN,6,FBXO9,protein_coding
ENSG00000171931,Q5XX13,FBW10_HUMAN,17,FBXW10,protein_coding
ENSG00000072803,Q9UKB1,FBW1B_HUMAN,5,FBXW11,protein_coding
ENSG00000241599,NA,NA,1,RP11-34P13.9,lincRNA
ENSG00000164049,Q6X9E4,FBW12_HUMAN,3,FBXW12,protein_coding
ENSG00000119402,Q9UKT8,FBXW2_HUMAN,9,FBXW2,protein_coding
ENSG00000107829,P57775,FBXW4_HUMAN,10,FBXW4,protein_coding
ENSG00000260959,NA,NA,15,RP11-350A1.2,lincRNA
ENSG00000159069,Q969U6,FBXW5_HUMAN,9,FBXW5,protein_coding
ENSG00000109670,Q969H0,FBXW7_HUMAN,4,FBXW7,protein_coding
ENSG00000174989,Q8N3Y1,FBXW8_HUMAN,12,FBXW8,protein_coding
ENSG00000132004,Q5XUX1,FBXW9_HUMAN,19,FBXW9,protein_coding
ENSG00000162897,Q8WWV6,FCAMR_HUMAN,1,FCAMR,protein_coding
ENSG00000186431,P24071,FCAR_HUMAN,19,FCAR,protein_coding
ENSG00000179639,P12319,FCERA_HUMAN,1,FCER1A,protein_coding
ENSG00000158869,P30273,FCERG_HUMAN,1,FCER1G,protein_coding
ENSG00000104921,P06734,FCER2_HUMAN,19,FCER2,protein_coding
ENSG00000119616,Q9Y324,FCF1_HUMAN,14,FCF1,protein_coding
ENSG00000255427,NA,NA,11,RP11-350D17.2,lincRNA
ENSG00000253745,NA,NA,8,RP11-350F16.1,lincRNA
ENSG00000253782,NA,NA,8,RP11-350F16.2,lincRNA
ENSG00000257742,NA,NA,12,RP11-350F4.2,lincRNA
ENSG00000272092,NA,NA,8,RP11-350N15.5,lincRNA
ENSG00000261818,NA,NA,16,RP11-351A20.1,lincRNA
ENSG00000260004,NA,NA,16,RP11-351A20.2,lincRNA
ENSG00000253573,NA,NA,8,RP11-351C8.1,lincRNA
ENSG00000273008,NA,NA,10,RP11-351D16.3,lincRNA
ENSG00000254347,NA,NA,8,RP11-351E7.1,lincRNA
ENSG00000203688,NA,NA,6,RP11-351J23.1,lincRNA
ENSG00000150337,P12314,FCGR1_HUMAN,1,FCGR1A,protein_coding
ENSG00000198019,Q92637,FCGRB_HUMAN,1,FCGR1B,protein_coding
ENSG00000272549,NA,NA,6,RP11-351J23.2,lincRNA
ENSG00000143226,P12318,FCG2A_HUMAN,1,FCGR2A,protein_coding
ENSG00000072694,P31994,FCG2B_HUMAN,1,FCGR2B,protein_coding
ENSG00000244682,A0A087WXE5,A0A087WXE5_HUMAN,1,FCGR2C,polymorphic_pseudogene
ENSG00000203747,P08637,FCG3A_HUMAN,1,FCGR3A,protein_coding
ENSG00000162747,O75015,FCG3B_HUMAN,1,FCGR3B,protein_coding
ENSG00000104870,P55899,FCGRN_HUMAN,19,FCGRT,protein_coding
ENSG00000130475,O14526,FCHO1_HUMAN,19,FCHO1,protein_coding
ENSG00000157107,Q0JRZ9,FCHO2_HUMAN,5,FCHO2,protein_coding
ENSG00000197948,Q86WN1,FCSD1_HUMAN,5,FCHSD1,protein_coding
ENSG00000137478,O94868,FCSD2_HUMAN,11,FCHSD2,protein_coding
ENSG00000085265,O00602,FCN1_HUMAN,9,FCN1,protein_coding
ENSG00000160339,Q15485,FCN2_HUMAN,9,FCN2,protein_coding
ENSG00000142748,O75636,FCN3_HUMAN,1,FCN3,protein_coding
ENSG00000163534,Q96LA6,FCRL1_HUMAN,1,FCRL1,protein_coding
ENSG00000132704,Q96LA5,FCRL2_HUMAN,1,FCRL2,protein_coding
ENSG00000160856,Q96P31,FCRL3_HUMAN,1,FCRL3,protein_coding
ENSG00000163518,Q96PJ5,FCRL4_HUMAN,1,FCRL4,protein_coding
ENSG00000143297,Q96RD9,FCRL5_HUMAN,1,FCRL5,protein_coding
ENSG00000181036,Q6DN72,FCRL6_HUMAN,1,FCRL6,protein_coding
ENSG00000132185,Q7L513,FCRLA_HUMAN,1,FCRLA,protein_coding
ENSG00000162746,Q6BAA4,FCRLB_HUMAN,1,FCRLB,protein_coding
ENSG00000181617,Q8NFU4,FDSCP_HUMAN,4,FDCSP,protein_coding
ENSG00000079459,P37268,FDFT_HUMAN,8,FDFT1,protein_coding
ENSG00000160752,P14324,FPPS_HUMAN,1,FDPS,protein_coding
